Date,Portfolio_Dollar_Value
2021-01-05,1230792.450433845
2021-01-06,1267731.41120525
2021-01-07,1282439.8974314132
2021-01-08,1280938.9775659507
2021-01-11,1283123.6549586323
2021-01-12,1294840.8471748799
2021-01-13,1289033.6614012788
2021-01-14,1301182.6261600011
2021-01-15,1289706.2180840299
2021-01-19,1305472.73675197
2021-01-20,1313250.612207058
2021-01-21,1304754.5540661043
2021-01-22,1300397.8195286195
2021-01-25,1293845.5137936524
2021-01-26,1281010.906926955
2021-01-27,1245425.5655117081
2021-01-28,1269460.155861985
2021-01-29,1241673.3833302786
2021-02-01,1260118.8440698993
2021-02-02,1276401.7601116823
2021-02-03,1279695.9054584168
2021-02-04,1296456.0279077222
2021-02-05,1303334.7547933264
2021-02-08,1325668.6097407122
2021-02-09,1324150.977399477
2021-02-10,1331202.048168488
2021-02-11,1340215.158179473
2021-02-12,1345166.9211788322
2021-02-16,1350495.6543173206
2021-02-17,1347916.2603050459
2021-02-18,1337082.0554638822
2021-02-19,1351154.6414421892
2021-02-22,1354267.6475173081
2021-02-23,1360072.3895535665
2021-02-24,1386925.3269686692
2021-02-25,1351084.2832745935
2021-02-26,1343339.3176993628
2021-03-01,1372793.664764422
2021-03-02,1360857.694716674
2021-03-03,1352215.5740592873
2021-03-04,1333526.3263706348
2021-03-05,1365498.2048246246
2021-03-08,1374676.6447296462
2021-03-09,1377193.1577289496
2021-03-10,1386814.4004256995
2021-03-11,1399467.4254413983
2021-03-12,1410852.640214977
2021-03-15,1420457.0937450735
2021-03-16,1401371.5843627825
2021-03-17,1412345.0113058602
2021-03-18,1397883.1009262644
2021-03-19,1392860.4275168804
2021-03-22,1387689.4843343531
2021-03-23,1363598.1836105876
2021-03-24,1364282.4984338323
2021-03-25,1381498.8501202576
2021-03-26,1408509.116903058
2021-03-29,1396353.834886166
2021-03-30,1406059.911148065
2021-03-31,1402489.430270369
2021-04-01,1418995.5903365691
2021-04-05,1439571.1468314752
2021-04-06,1437192.775318461
2021-04-07,1434752.900834021
2021-04-08,1438777.9618781605
2021-04-09,1450702.920650084
2021-04-12,1451358.3449973299
2021-04-13,1446883.255606035
2021-04-14,1450240.6119675562
2021-04-15,1459024.8898844859
2021-04-16,1465162.5797678626
2021-04-19,1454338.271089469
2021-04-20,1435751.390996413
2021-04-21,1455197.7418706252
2021-04-22,1445694.6012843195
2021-04-23,1463845.4853852028
2021-04-26,1467123.8728005323
2021-04-27,1470813.4227428888
2021-04-28,1471866.904389799
2021-04-29,1483226.6040468419
2021-04-30,1474808.0465499284
2021-05-03,1483954.5458791198
2021-05-04,1481091.699891803
2021-05-05,1488828.7057411799
2021-05-06,1499730.7316139087
2021-05-07,1518883.1934018931
2021-05-10,1507250.9079403635
2021-05-11,1490046.9211867773
