Date,Portfolio_PnL
2021-12-08,1002.8176384267863
2021-12-09,-14877.506304189796
2021-12-10,10643.557623144472
2021-12-13,-22515.677377568092
2021-12-14,-9723.868352829246
2021-12-15,18803.347181883408
2021-12-16,-10198.833937065909
2021-12-17,-23493.95604937477
2021-12-20,-24936.352314890362
2021-12-21,35441.26079632854
2021-12-22,11279.781107689021
2021-12-23,12507.693352297414
2021-12-27,23732.56341000623
2021-12-28,-128.28707021893933
2021-12-29,5693.011815127451
2021-12-30,-4548.525740056066
2021-12-31,2414.3530836247373
2022-01-03,3386.6608384966385
2022-01-04,18660.925952379126
2022-01-05,-29710.957082541194
2022-01-06,8030.613139917608
2022-01-07,-7099.808441388188
2022-01-10,-9841.145000505727
2022-01-11,17769.746833282523
2022-01-12,3807.136402839562
2022-01-13,-5834.727027694462
2022-01-14,937.8900448060594
2022-01-18,-30238.030325967586
2022-01-19,-22545.78896058933
2022-01-20,-19206.454547459958
2022-01-21,-23361.662159583997
2022-01-24,16006.717314426322
2022-01-25,-17959.392339216778
2022-01-26,-7504.792863741517
2022-01-27,-10592.931489272974
2022-01-28,20808.542970929993
2022-01-31,24174.72969903215
2022-02-01,14607.22153733531
2022-02-02,15097.939739758614
2022-02-03,-25698.32170500164
2022-02-04,-4476.333266548114
2022-02-07,-3813.850056078518
2022-02-08,13671.902110871626
2022-02-09,29325.85891568195
2022-02-10,-21236.69477588171
2022-02-11,-23966.159371852176
2022-02-14,-12079.998939268291
2022-02-15,32233.00572029408
2022-02-16,10756.295005249092
2022-02-17,-35585.64146896242
2022-02-18,-5153.209052100312
2022-02-22,-17337.976696312893
2022-02-23,-26225.31669881032
2022-02-24,16259.081345377723
2022-02-25,38676.13139411458
2022-02-28,-7816.92578542023
2022-03-01,-33364.68923878251
2022-03-02,40481.79082618677
2022-03-03,-678.0958760068752
2022-03-04,-18824.740326374536
2022-03-07,-53857.80030572903
2022-03-08,6304.530746286269
2022-03-09,41226.85598000162
2022-03-10,877.982744077919
2022-03-11,-17328.599921596237
2022-03-14,-4041.861568159191
2022-03-15,24185.77354240138
2022-03-16,31478.145295718685
2022-03-17,20377.792351472424
2022-03-18,9723.529548242921
2022-03-21,-4868.718702136306
2022-03-22,13421.389736488229
2022-03-23,-20842.991349655436
2022-03-24,22641.70601434703
2022-03-25,13678.99510956346
2022-03-28,1392.4053589049727
2022-03-29,26125.941568613518
2022-03-30,-15646.846845959313
2022-03-31,-24836.22013685503
2022-04-01,1423.036608878756
2022-04-04,3367.897512829397
2022-04-05,-21978.153582523344
2022-04-06,-5676.323999692453
2022-04-07,5821.452968486585
2022-04-08,5829.824570857687
2022-04-11,-15759.014516039751
2022-04-12,-1586.385651584249
2022-04-13,18447.93056996283
2022-04-14,-8455.876960768597
2022-04-18,3597.9496226690244
2022-04-19,28389.684068002272
2022-04-20,7334.344018373871
2022-04-21,-27402.61963981483
2022-04-22,-45897.067275407724
2022-04-25,2741.1176686182152
2022-04-26,-35996.89417373366
2022-04-27,417.08807778474875
2022-04-28,33276.657674790826
2022-04-29,-50878.46067119273
2022-05-02,1219.1576120180544
2022-05-03,14672.819593491964
2022-05-04,42228.08150943229
2022-05-05,-49366.414132679114
2022-05-06,-9542.895082194591
2022-05-09,-52111.731158998096
2022-05-10,-4242.87190722581
2022-05-11,-12742.319015663583
2022-05-12,7388.705861354247
2022-05-13,34173.482498722384
2022-05-16,-3805.896896874765
2022-05-17,30133.83068958763
2022-05-18,-62530.211719308514
2022-05-19,-5484.662268984597
2022-05-20,-3632.2045823035296
2022-05-23,27692.48551992164
2022-05-24,-11018.861224176595
2022-05-25,23504.829329693457
2022-05-26,35490.94053264009
2022-05-27,38799.761552572716
2022-05-31,-17286.853527470725
2022-06-01,-13047.85142947035
2022-06-02,28584.991108605172
2022-06-03,-13181.35381359281
2022-06-06,5235.89474916039
2022-06-07,18311.711336780572
2022-06-08,-19128.029358784435
2022-06-09,-33713.90765665891
2022-06-10,-45425.34318813332
2022-06-13,-56912.3747879765
2022-06-14,-4205.558973362669
2022-06-15,15721.910670985002
2022-06-16,-55269.791488345014
2022-06-17,2944.1555408132263
2022-06-21,22227.013766088523
2022-06-22,-7682.499591789208
2022-06-23,6169.251213158248
2022-06-24,44797.03939761664
2022-06-27,-2377.2421152356546
2022-06-28,-17776.855463336222
2022-06-29,-14315.669246496633
2022-06-30,-7168.002791157458
2022-07-01,9850.760344332084
2022-07-05,-5929.564876435092
2022-07-06,-3318.268323749304
2022-07-07,27164.8188438043
2022-07-08,-5782.463191039627
2022-07-11,-10321.113215143792
2022-07-12,-10051.877629843075
2022-07-13,-8480.203438159311
2022-07-14,-10926.90232786024
2022-07-15,22808.542726172134
2022-07-18,-4581.050365854753
2022-07-19,42442.018115563784
2022-07-20,7855.560665250057
2022-07-21,9195.465260532917
2022-07-22,-9336.774726452539
2022-07-25,8677.977979693096
2022-07-26,-14288.160843673162
2022-07-27,29441.02480135183
2022-07-28,20967.987428501947
2022-07-29,12999.249474287964
2022-08-01,-5774.068191361148
2022-08-02,-10828.201202329947
2022-08-03,11871.872925262665
2022-08-04,-8957.537975454936
2022-08-05,7033.452856240561
2022-08-08,4448.099617436295
2022-08-09,-9982.617959147785
2022-08-10,35794.11936062318
2022-08-11,11704.961449078284
2022-08-12,23017.485963011626
2022-08-15,1712.5894519595895
2022-08-16,6348.012435429264
2022-08-17,-12154.846871885471
2022-08-18,6911.189261027612
2022-08-19,-19641.001503508072
2022-08-22,-30475.889474249445
2022-08-23,768.7295035836287
2022-08-24,11289.466011766344
2022-08-25,23623.05167178507
2022-08-26,-45739.06953246193
2022-08-29,-6895.499328830745
2022-08-30,-17698.47786423657
2022-08-31,-9831.565200072248
2022-09-01,934.6720780667383
2022-09-02,-7968.876290505519
2022-09-06,-6188.74268682953
2022-09-07,32062.85809621378
2022-09-08,13119.335051036207
2022-09-09,23986.188146600733
2022-09-12,14230.71222271584
2022-09-13,-60569.17378927418
2022-09-14,6361.470716231037
2022-09-15,-13497.73236206756
2022-09-16,-14998.21206251951
2022-09-19,11967.278699208284
2022-09-20,-23109.53432922857
2022-09-21,-25171.72892245371
2022-09-22,-20331.96082734433
2022-09-23,-30998.884975082707
2022-09-26,-23604.603618103545
2022-09-27,601.8592700366862
2022-09-28,36722.37441390613
2022-09-29,-25187.762971836375
2022-09-30,-16974.211212584516
2022-10-03,41642.05114159593
2022-10-04,45885.43241574988
2022-10-05,-4106.83743519173
2022-10-06,-12814.842151405057
2022-10-07,-34054.590490230825
2022-10-10,-9562.261769460049
2022-10-11,-3988.423206718173
2022-10-12,-8284.51584009151
2022-10-13,33177.83015035838
2022-10-14,-37192.00199869368
2022-10-17,29999.685606076848
2022-10-18,18875.206640774617
2022-10-19,-11264.878741089255
2022-10-20,-14598.701470684027
2022-10-21,34246.20025875559
2022-10-24,16100.968718803022
2022-10-25,31934.74068270391
2022-10-26,-2137.6268739511725
2022-10-27,4941.982127933996
2022-10-28,25740.791396339657
2022-10-31,-2409.87320211879
2022-11-01,-44.87326198676601
2022-11-02,-35879.814082121244
2022-11-03,4129.821398658212
2022-11-04,25128.88199172914
2022-11-07,10961.926294630859
2022-11-08,8443.508548881859
2022-11-09,-30122.486540857004
2022-11-10,72724.13489230257
2022-11-11,14723.95587706333
2022-11-14,-21231.98255685973
2022-11-15,13926.257834301097
2022-11-16,-17858.17064576107
2022-11-17,-2493.1104025088716
2022-11-18,12058.532743976684
2022-11-21,-3303.877267640317
2022-11-22,21943.1950120721
2022-11-23,3395.3738802338485
2022-11-25,5046.792387367459
2022-11-28,-25212.079835792538
2022-11-29,7982.917230548337
2022-11-30,35886.9082422615
2022-12-01,372.9309673628304
2022-12-02,1310.6617288442794
2022-12-05,-31024.575188910123
2022-12-06,-12284.698914415669
2022-12-07,-1928.8338794622105
2022-12-08,12352.023674709257
2022-12-09,-15895.03754486586
2022-12-12,27045.638709909515
2022-12-13,12470.015193084255
2022-12-14,-11856.495774544077
2022-12-15,-36462.42279809993
2022-12-16,-17259.000524776056
2022-12-19,-10992.34523352678
2022-12-20,4702.570669893874
2022-12-21,24480.17744300561
2022-12-22,-18927.33253830485
2022-12-23,13454.957679057028
2022-12-27,3852.9957111668773
2022-12-28,-21662.849397792248
2022-12-29,23966.242431320483
2022-12-30,-1851.024425970856
2023-01-03,-3429.554398057051
2023-01-04,13372.367629954359
2023-01-05,-16438.06415058882
2023-01-06,38135.128428108525
2023-01-09,-3952.5671555444133
2023-01-10,8615.472143785562
2023-01-11,18383.760000907583
2023-01-12,10063.10401755781
2023-01-13,3819.3741285414435
2023-01-17,-5611.406889471924
2023-01-18,-22036.866200430784
2023-01-19,-16237.414042103104
2023-01-20,26769.358757885173
2023-01-23,19248.63878479344
2023-01-24,-3155.8576402743347
2023-01-25,2920.1574697883334
2023-01-26,18958.15682880534
2023-01-27,492.9528467664495
2023-01-30,-14900.418810509145
2023-01-31,29095.0813543282
2023-02-01,12512.562404560857
2023-02-02,4975.644946019398
2023-02-03,-16348.322882475099
2023-02-06,-11753.63742066943
2023-02-07,22430.076802397612
2023-02-08,-18518.09323994373
2023-02-09,-10409.02949137683
2023-02-10,4521.9502705105115
2023-02-13,17213.6660633476
2023-02-14,-5713.8918900932185
2023-02-15,7357.9618006190285
2023-02-16,-20099.43587272847
2023-02-17,-5906.938263372984
2023-02-21,-33910.57403102447
2023-02-22,2033.2068195990287
2023-02-23,8565.984898427734
